CustomerID,Tenure,MonthlyCharges,Contract,InternetService,Churn
C0001,52,26,Month-to-month,None,No
C0002,15,112,Month-to-month,Fiber,Yes
C0003,72,27,Month-to-month,Fiber,No
C0004,61,84,Month-to-month,DSL,No
C0005,21,76,Month-to-month,Fiber,No
C0006,24,86,Month-to-month,Fiber,No
C0007,3,107,One year,Fiber,No
C0008,22,106,One year,Fiber,No
C0009,53,78,Month-to-month,Fiber,No
C0010,2,91,Two year,None,No
C0011,30,73,Month-to-month,Fiber,No
C0012,38,120,Two year,DSL,No
C0013,2,86,Month-to-month,DSL,Yes
C0014,64,70,Two year,None,No
C0015,60,116,One year,Fiber,No
C0016,21,111,Month-to-month,None,No
C0017,33,27,Month-to-month,DSL,No
C0018,58,53,Month-to-month,DSL,No
C0019,22,54,Month-to-month,DSL,No
C0020,49,115,Month-to-month,DSL,No
C0021,59,107,One year,Fiber,No
C0022,42,97,Month-to-month,DSL,No
C0023,60,51,One year,DSL,No
C0024,15,65,Two year,DSL,No
C0025,62,35,Month-to-month,None,No
C0026,62,87,One year,Fiber,No
C0027,47,56,Month-to-month,None,No
C0028,62,73,One year,Fiber,No
C0029,51,104,Month-to-month,Fiber,No
C0030,55,33,Two year,Fiber,No
C0031,64,114,Two year,Fiber,No
C0032,3,74,Month-to-month,DSL,Yes
C0033,51,67,Month-to-month,Fiber,No
C0034,7,101,Two year,Fiber,No
C0035,21,26,One year,None,No
C0036,39,93,Month-to-month,DSL,No
C0037,18,26,Month-to-month,DSL,No
C0038,4,52,One year,None,No
C0039,60,42,Month-to-month,DSL,No
C0040,14,104,Two year,Fiber,No
C0041,9,38,Month-to-month,Fiber,No
C0042,53,38,Month-to-month,DSL,No
C0043,2,55,Two year,Fiber,No
C0044,60,48,Month-to-month,DSL,No
C0045,71,79,Month-to-month,Fiber,No
C0046,44,101,Month-to-month,Fiber,No
C0047,8,21,Month-to-month,DSL,No
C0048,47,20,One year,DSL,No
C0049,35,66,Month-to-month,DSL,No
C0050,36,88,One year,DSL,No
C0051,50,39,One year,Fiber,No
C0052,4,30,One year,Fiber,No
C0053,2,21,Month-to-month,None,No
C0054,6,86,Month-to-month,DSL,Yes
C0055,54,106,Two year,Fiber,No
C0056,4,31,One year,DSL,No
C0057,54,39,One year,Fiber,No
C0058,63,24,Month-to-month,Fiber,No
C0059,18,56,Month-to-month,Fiber,No
C0060,44,57,One year,DSL,No
C0061,34,113,Two year,DSL,No
C0062,62,28,One year,Fiber,No
C0063,14,117,Two year,None,No
C0064,48,72,One year,Fiber,No
C0065,15,63,Month-to-month,Fiber,Yes
C0066,72,118,Month-to-month,Fiber,No
C0067,62,105,Month-to-month,Fiber,No
C0068,40,43,Month-to-month,Fiber,No
C0069,53,100,Two year,DSL,No
C0070,24,93,Month-to-month,DSL,No
C0071,26,49,Month-to-month,DSL,No
C0072,60,78,Month-to-month,Fiber,No
C0073,41,106,Month-to-month,Fiber,No
C0074,29,115,Month-to-month,Fiber,No
C0075,15,100,Month-to-month,Fiber,Yes
C0076,45,100,One year,DSL,No
C0077,65,33,Month-to-month,Fiber,No
C0078,71,28,One year,DSL,No
C0079,9,59,Month-to-month,None,No
C0080,1,85,Month-to-month,Fiber,Yes
C0081,8,44,Month-to-month,DSL,No
C0082,63,92,One year,DSL,No
C0083,11,41,One year,DSL,No
C0084,8,23,Month-to-month,DSL,No
C0085,35,45,Month-to-month,Fiber,No
C0086,35,77,One year,Fiber,No
C0087,33,48,Month-to-month,Fiber,No
C0088,5,117,Month-to-month,Fiber,Yes
C0089,41,106,Two year,DSL,No
C0090,28,56,One year,Fiber,No
C0091,7,94,Month-to-month,None,Yes
C0092,72,89,Two year,DSL,No
C0093,12,37,One year,Fiber,No
C0094,34,104,Month-to-month,Fiber,No
C0095,33,61,One year,None,No
C0096,48,119,One year,DSL,No
C0097,23,60,Month-to-month,DSL,No
C0098,62,57,Month-to-month,Fiber,No
C0099,37,53,Month-to-month,Fiber,No
C0100,44,36,One year,Fiber,No
C0101,35,56,Month-to-month,Fiber,No
C0102,65,44,Two year,DSL,No
C0103,47,95,One year,DSL,No
C0104,3,106,Month-to-month,DSL,Yes
C0105,1,105,One year,None,No
C0106,5,104,Month-to-month,DSL,Yes
C0107,14,46,One year,Fiber,No
C0108,27,76,One year,Fiber,No
C0109,9,50,Month-to-month,None,No
C0110,15,25,Month-to-month,Fiber,No
C0111,42,110,Month-to-month,None,No
C0112,51,59,Month-to-month,DSL,No
C0113,63,117,Month-to-month,Fiber,No
C0114,52,31,Month-to-month,DSL,No
C0115,4,72,Two year,None,No
C0116,23,90,Month-to-month,DSL,No
C0117,15,29,Month-to-month,None,No
C0118,43,64,One year,None,No
C0119,29,36,Month-to-month,Fiber,No
C0120,36,45,Two year,Fiber,No
C0121,13,104,One year,None,No
C0122,32,111,One year,DSL,No
C0123,71,81,Month-to-month,Fiber,No
C0124,59,65,Month-to-month,Fiber,No
C0125,28,83,Month-to-month,DSL,No
C0126,66,21,Two year,None,No
C0127,42,73,Month-to-month,DSL,No
C0128,45,84,Month-to-month,DSL,No
C0129,62,70,Two year,Fiber,No
C0130,57,72,Month-to-month,Fiber,No
C0131,6,55,Month-to-month,None,No
C0132,28,45,Month-to-month,Fiber,No
C0133,28,48,Two year,Fiber,No
C0134,44,40,Month-to-month,Fiber,No
C0135,30,30,One year,DSL,No
C0136,62,59,One year,None,No
C0137,62,30,Month-to-month,Fiber,No
C0138,1,55,One year,Fiber,No
C0139,27,78,Month-to-month,DSL,No
C0140,62,58,Month-to-month,None,No
C0141,3,118,One year,Fiber,No
C0142,70,73,Two year,Fiber,No
C0143,72,117,One year,Fiber,No
C0144,27,74,Month-to-month,None,No
C0145,9,43,Month-to-month,Fiber,No
C0146,62,41,Month-to-month,Fiber,No
C0147,37,88,Month-to-month,DSL,No
C0148,51,75,Month-to-month,DSL,No
C0149,44,52,Month-to-month,Fiber,No
C0150,24,55,Month-to-month,None,No
C0151,59,39,Month-to-month,Fiber,No
C0152,32,102,Month-to-month,DSL,No
C0153,52,118,Month-to-month,Fiber,No
C0154,62,100,Two year,DSL,No
C0155,58,81,Month-to-month,Fiber,No
C0156,52,117,Two year,None,No
C0157,12,92,Two year,DSL,No
C0158,39,45,Month-to-month,DSL,No
C0159,2,85,One year,DSL,No
C0160,3,92,One year,DSL,No
C0161,56,92,One year,Fiber,No
C0162,59,59,Month-to-month,Fiber,No
